Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3heuof3aSNHel6nlRQM3Ad,"Métis(se) (feat. Disiz)","Métisse(s)","Yannick Noah,Disiz",2005-06-06,184493,34,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:44Z,"variété française,chanson,pop française,hip-hop français,r&b français","Saint George",0.734,0.721,7,-7.173,0,0.0494,0.149,0,0.127,0.82,90.01,4
spotify:track:2z8el4xS0qX5ujGeNuq3g7,"Assis par terre","La Saison des Amours","Louisy Joseph",2008-04-14,215560,37,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:47Z,"variété française,zouk,pop française","Warner (France)",0.712,0.732,1,-7.468,1,0.0961,0.0846,0,0.216,0.776,102.025,4
spotify:track:5oAh4WgAinKO7T7XcHetLR,"Allo le monde","Allo le monde","Pauline",2007-07-06,218760,49,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:49Z,"variété française,pop française,chanson","Parlophone (France)",0.598,0.842,10,-4.408,0,0.0511,0.0846,0.00000126,0.144,0.703,107.079,4
spotify:track:55mXuPsEm6aboDIM68RM74,"Je te donne","Non homologué","Jean-Jacques Goldman,Michael Jones",1985-09-13,265400,62,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:16:06Z,"variété française,chanson,pop française,house française","Epic",0.459,0.776,0,-5.385,1,0.0359,0.287,0,0.159,0.749,122.004,4
spotify:track:49l4Fv41jWi2TGCsPmseKY,"A nos actes manqués","Fredericks Goldman Jones","Carole Fredericks,Jean-Jacques Goldman,Michael Jones",1990-12-03,282400,57,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:16:09Z,"variété française,chanson,pop française,house française","Columbia",0.653,0.877,4,-5.336,1,0.0359,0.061,0.0133,0.344,0.927,111.025,4
spotify:track:6YWGQxQyR54ytAtg5Z59OH,"Ça fait rire les oiseaux","Ça fait rire les oiseaux","La Compagnie Créole",1986-01-01,223706,54,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:16:16Z,"zouk,variété française,chanson","Zagora",0.529,0.868,5,-8.278,1,0.0528,0.141,0,0.451,0.9,124.288,4
spotify:track:3Uyt0WO3wOopnUBCe9BaXl,"Sur ma route","Les yeux plus gros que le monde","Black M",2014-03-31,252573,65,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:05Z,"pop française,chanson,pop urbaine,r&b français","Jive Epic",0.747,0.785,7,-6.735,0,0.0413,0.053,0,0.08,0.389,125.025,4
spotify:track:3M3vUIBozMndhg0loGavv2,"Maintenant - Version radio","Les Enfoirés 2021 - À côté de vous","Les Enfoirés",2021-03-06,214613,31,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:18Z,"chanson,variété française,pop française","Sony Music/Restos Du Coeur",0.726,0.541,7,-9.893,0,0.0858,0.178,0,0.265,0.439,113.025,4
spotify:track:2sfnGAHcam37qlF5Ovc8xx,"Poupée Russe","Poupée Russe","Lujipeka",2021-07-15,160900,50,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:33Z,"hip-hop français","Universal Music Division Romance Musique",0.83,0.59,7,-6.978,0,0.0552,0.246,0.000479,0.137,0.8,129.887,4
spotify:track:3LgrzjwX7RVTtAX9Ai12Qm,"À nos souvenirs","Un air de rien","Trois Cafés Gourmands",2018-10-05,192989,67,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:42Z,"variété française,pop française,chanson","Play Two",0.676,0.856,1,-4.609,0,0.134,0.305,0,0.0955,0.455,133.847,4
